step,layer,m,n,q,n_sv,n_outliers,lambda_plus,sigma2_hat
12000,1.attn.c_attn.weight,4608,1536,3.0,1536,2,1.6954577537403002e-09,2.2714826795789937e-10
12500,1.attn.c_attn.weight,4608,1536,3.0,1536,2,1.8861022355383457e-09,2.5268978542751745e-10
13000,1.attn.c_attn.weight,4608,1536,3.0,1536,2,1.736427651504732e-09,2.3263719346788196e-10
13500,1.attn.c_attn.weight,4608,1536,3.0,1536,2,2.0963932860713032e-09,2.808634440104167e-10
14000,1.attn.c_attn.weight,4608,1536,3.0,1536,2,1.7491457201543859e-09,2.3434109157986114e-10
14500,1.attn.c_attn.weight,4608,1536,3.0,1536,2,1.6757795480186963e-09,2.2451188829210075e-10
15000,1.attn.c_attn.weight,4608,1536,3.0,1536,1,1.773696021826355e-09,2.376302083333334e-10
15500,1.attn.c_attn.weight,4608,1536,3.0,1536,1,1.892556180823244e-09,2.5355445014105905e-10
16000,1.attn.c_attn.weight,4608,1536,3.0,1536,2,1.8631654201876014e-09,2.496168348524306e-10
16500,1.attn.c_attn.weight,4608,1536,3.0,1536,2,1.8165641387922274e-09,2.4337344699435763e-10
17000,1.attn.c_attn.weight,4608,1536,3.0,1536,1,1.7998281728328577e-09,2.411312527126737e-10
17500,1.attn.c_attn.weight,4608,1536,3.0,1536,1,2.379259584072682e-09,3.1876034206814205e-10
18000,1.attn.c_attn.weight,4608,1536,3.0,1536,1,1.88958230407432e-09,2.5315602620442714e-10
18500,1.attn.c_attn.weight,4608,1536,3.0,1536,1,1.8908477835419472e-09,2.5332556830512156e-10
19000,1.attn.c_attn.weight,4608,1536,3.0,1536,2,2.1945628557724873e-09,2.940156724717882e-10
19500,1.attn.c_attn.weight,4608,1536,3.0,1536,1,2.1256258617734934e-09,2.847798665364584e-10
20000,1.attn.c_attn.weight,4608,1536,3.0,1536,1,1.810394926387545e-09,2.4254692925347227e-10
20500,1.attn.c_attn.weight,4608,1536,3.0,1536,1,2.2063634518081123e-09,2.95596652560764e-10
500,1.attn.c_proj.weight,1536,1536,1.0,1536,45,2.3918999565972225e-10,5.979749891493056e-11
1000,1.attn.c_proj.weight,1536,1536,1.0,1536,30,2.476671006944445e-10,6.191677517361112e-11
1500,1.attn.c_proj.weight,1536,1536,1.0,1536,25,2.722337510850694e-10,6.805843777126736e-11
2000,1.attn.c_proj.weight,1536,1536,1.0,1536,14,4.718017578125e-10,1.17950439453125e-10
2500,1.attn.c_proj.weight,1536,1536,1.0,1536,15,3.728230794270833e-10,9.320576985677083e-11
3000,1.attn.c_proj.weight,1536,1536,1.0,1536,13,3.6978827582465284e-10,9.244706895616321e-11
3500,1.attn.c_proj.weight,1536,1536,1.0,1536,9,4.257371690538195e-10,1.0643429226345488e-10
4000,1.attn.c_proj.weight,1536,1536,1.0,1536,10,3.6671956380208327e-10,9.167989095052082e-11
4500,1.attn.c_proj.weight,1536,1536,1.0,1536,7,4.340447319878472e-10,1.085111829969618e-10
5000,1.attn.c_proj.weight,1536,1536,1.0,1536,7,4.2248196072048607e-10,1.0562049018012152e-10
5500,1.attn.c_proj.weight,1536,1536,1.0,1536,9,3.999837239583332e-10,9.99959309895833e-11
6000,1.attn.c_proj.weight,1536,1536,1.0,1536,6,4.413011338975695e-10,1.1032528347439238e-10
6500,1.attn.c_proj.weight,1536,1536,1.0,1536,5,4.136318630642361e-10,1.0340796576605903e-10
7000,1.attn.c_proj.weight,1536,1536,1.0,1536,7,3.880988226996528e-10,9.70247056749132e-11
7500,1.attn.c_proj.weight,1536,1536,1.0,1536,5,4.205322265625e-10,1.05133056640625e-10
8000,1.attn.c_proj.weight,1536,1536,1.0,1536,5,4.830084906684027e-10,1.2075212266710069e-10
8500,1.attn.c_proj.weight,1536,1536,1.0,1536,7,4.997253417968752e-10,1.249313354492188e-10
9000,1.attn.c_proj.weight,1536,1536,1.0,1536,5,4.4343736436631944e-10,1.1085934109157986e-10
9500,1.attn.c_proj.weight,1536,1536,1.0,1536,5,4.629177517361112e-10,1.157294379340278e-10
10000,1.attn.c_proj.weight,1536,1536,1.0,1536,4,5.05947536892361e-10,1.2648688422309025e-10
10500,1.attn.c_proj.weight,1536,1536,1.0,1536,4,4.651048448350694e-10,1.1627621120876735e-10
11000,1.attn.c_proj.weight,1536,1536,1.0,1536,3,5.697970920138889e-10,1.4244927300347222e-10
11500,1.attn.c_proj.weight,1536,1536,1.0,1536,4,4.5849270290798614e-10,1.1462317572699653e-10
12000,1.attn.c_proj.weight,1536,1536,1.0,1536,4,4.6229044596354163e-10,1.1557261149088541e-10
12500,1.attn.c_proj.weight,1536,1536,1.0,1536,3,4.841783311631945e-10,1.2104458279079862e-10
