step,layer,m,n,q,n_sv,n_outliers,lambda_plus,sigma2_hat
3500,0.mlp.c_proj.weight,1536,6144,0.25,1536,2,1.4179253578186028e-09,6.30189047919379e-10
4000,0.mlp.c_proj.weight,1536,6144,0.25,1536,2,1.074144840240478e-09,4.773977067735458e-10
4500,0.mlp.c_proj.weight,1536,6144,0.25,1536,2,1.335670948028564e-09,5.936315324571395e-10
5000,0.mlp.c_proj.weight,1536,6144,0.25,1536,2,9.623074531555172e-10,4.276922014024521e-10
5500,0.mlp.c_proj.weight,1536,6144,0.25,1536,2,9.242010116577143e-10,4.1075600518120635e-10
6000,0.mlp.c_proj.weight,1536,6144,0.25,1536,2,1.0595059394836423e-09,4.708915286593966e-10
6500,0.mlp.c_proj.weight,1536,6144,0.25,1536,2,8.105707168579099e-10,3.6025365193684883e-10
7000,0.mlp.c_proj.weight,1536,6144,0.25,1536,2,7.558560371398924e-10,3.359360165066188e-10
7500,0.mlp.c_proj.weight,1536,6144,0.25,1536,2,6.76243305206299e-10,3.0055258009168845e-10
8000,0.mlp.c_proj.weight,1536,6144,0.25,1536,2,8.757896423339844e-09,3.892398410373264e-09
8500,0.mlp.c_proj.weight,1536,6144,0.25,1536,2,6.868362426757816e-10,3.0526055230034736e-10
9000,0.mlp.c_proj.weight,1536,6144,0.25,1536,2,9.156250953674318e-10,4.0694448682996967e-10
9500,0.mlp.c_proj.weight,1536,6144,0.25,1536,2,6.495785713195804e-10,2.8870158725314685e-10
10000,0.mlp.c_proj.weight,1536,6144,0.25,1536,2,7.626199722290037e-10,3.3894220987955717e-10
10500,0.mlp.c_proj.weight,1536,6144,0.25,1536,2,5.444788932800297e-10,2.4199061923556877e-10
11000,0.mlp.c_proj.weight,1536,6144,0.25,1536,2,6.312012672424317e-10,2.805338965521919e-10
11500,0.mlp.c_proj.weight,1536,6144,0.25,1536,2,6.963419914245607e-10,3.09485329522027e-10
12000,0.mlp.c_proj.weight,1536,6144,0.25,1536,2,5.960536003112795e-10,2.6491271124945755e-10
12500,0.mlp.c_proj.weight,1536,6144,0.25,1536,2,7.139325141906735e-10,3.1730333964029934e-10
13000,0.mlp.c_proj.weight,1536,6144,0.25,1536,2,5.422019958496098e-10,2.4097866482204877e-10
13500,0.mlp.c_proj.weight,1536,6144,0.25,1536,2,5.490422248840335e-10,2.44018766615126e-10
14000,0.mlp.c_proj.weight,1536,6144,0.25,1536,2,6.819701194763188e-10,3.030978308783639e-10
14500,0.mlp.c_proj.weight,1536,6144,0.25,1536,2,4.975724220275882e-10,2.2114329867892808e-10
15000,0.mlp.c_proj.weight,1536,6144,0.25,1536,2,4.620647430419924e-10,2.053621080186633e-10
15500,0.mlp.c_proj.weight,1536,6144,0.25,1536,2,4.1351318359375023e-10,1.837836371527779e-10
16000,0.mlp.c_proj.weight,1536,6144,0.25,1536,2,5.222225189208985e-10,2.320988972981771e-10
16500,0.mlp.c_proj.weight,1536,6144,0.25,1536,2,4.696631431579592e-10,2.0873917473687074e-10
17000,0.mlp.c_proj.weight,1536,6144,0.25,1536,2,4.25534248352051e-10,1.8912633260091156e-10
17500,0.mlp.c_proj.weight,1536,6144,0.25,1536,2,7.124328613281245e-10,3.1663682725694423e-10
18000,0.mlp.c_proj.weight,1536,6144,0.25,1536,2,4.6158313751220726e-10,2.0514806111653656e-10
18500,0.mlp.c_proj.weight,1536,6144,0.25,1536,2,3.796672821044924e-10,1.687410142686633e-10
19000,0.mlp.c_proj.weight,1536,6144,0.25,1536,2,4.266405105590823e-10,1.8961800469292548e-10
19500,0.mlp.c_proj.weight,1536,6144,0.25,1536,2,4.4766426086425794e-10,1.9896189371744797e-10
20000,0.mlp.c_proj.weight,1536,6144,0.25,1536,2,5.384898185729984e-10,2.3932880825466593e-10
20500,0.mlp.c_proj.weight,1536,6144,0.25,1536,2,3.9676904678344747e-10,1.763417985704211e-10
21000,0.mlp.c_proj.weight,1536,6144,0.25,1536,2,3.617310523986819e-10,1.6076935662163638e-10
21500,0.mlp.c_proj.weight,1536,6144,0.25,1536,2,4.120802879333499e-10,1.8314679463704442e-10
22000,0.mlp.c_proj.weight,1536,6144,0.25,1536,2,3.4313917160034156e-10,1.525062984890407e-10
22500,0.mlp.c_proj.weight,1536,6144,0.25,1536,2,3.6566495895385757e-10,1.625177595350478e-10
23000,0.mlp.c_proj.weight,1536,6144,0.25,1536,2,3.626346588134767e-10,1.6117095947265632e-10
23500,0.mlp.c_proj.weight,1536,6144,0.25,1536,2,3.342843055725095e-10,1.485708024766709e-10
24000,0.mlp.c_proj.weight,1536,6144,0.25,1536,2,3.5214424133300766e-10,1.5650855170355897e-10
24500,0.mlp.c_proj.weight,1536,6144,0.25,1536,2,3.758382797241212e-10,1.6703923543294277e-10
500,1.attn.c_attn.weight,4608,1536,3.0,1536,9,1.5560335533944675e-09,2.0846896701388891e-10
1000,1.attn.c_attn.weight,4608,1536,3.0,1536,5,1.1932205900257347e-09,1.5986124674479168e-10
1500,1.attn.c_attn.weight,4608,1536,3.0,1536,4,1.1711063363289484e-09,1.5689849853515625e-10
2000,1.attn.c_attn.weight,4608,1536,3.0,1536,2,1.6051025197517145e-09,2.1504296196831604e-10
2500,1.attn.c_attn.weight,4608,1536,3.0,1536,2,2.221770664326473e-09,2.9766082763671874e-10
3000,1.attn.c_attn.weight,4608,1536,3.0,1536,2,1.3082210366463616e-09,1.752683851453994e-10
3500,1.attn.c_attn.weight,4608,1536,3.0,1536,2,1.656322801203927e-09,2.2190517849392364e-10
4000,1.attn.c_attn.weight,4608,1536,3.0,1536,2,1.4561872233986777e-09,1.9509209526909728e-10
4500,1.attn.c_attn.weight,4608,1536,3.0,1536,2,2.016035339876973e-09,2.7009752061631945e-10
5000,1.attn.c_attn.weight,4608,1536,3.0,1536,2,1.6286088008628907e-09,2.1819220648871536e-10
5500,1.attn.c_attn.weight,4608,1536,3.0,1536,2,1.3874400513198274e-09,1.8588172064887161e-10
6000,1.attn.c_attn.weight,4608,1536,3.0,1536,2,1.653095828561478e-09,2.2147284613715284e-10
6500,1.attn.c_attn.weight,4608,1536,3.0,1536,2,1.3321069615978259e-09,1.78468492296007e-10
7000,1.attn.c_attn.weight,4608,1536,3.0,1536,2,1.2439979536642784e-09,1.6666412353515632e-10
7500,1.attn.c_attn.weight,4608,1536,3.0,1536,2,1.129725157737537e-09,1.513544718424479e-10
8000,1.attn.c_attn.weight,4608,1536,3.0,1536,2,1.4437855246159302e-08,1.9343058268229167e-09
8500,1.attn.c_attn.weight,4608,1536,3.0,1536,2,1.2392207686739853e-09,1.6602410210503476e-10
9000,1.attn.c_attn.weight,4608,1536,3.0,1536,2,1.896763900053105e-09,2.5411817762586814e-10
9500,1.attn.c_attn.weight,4608,1536,3.0,1536,2,1.248616953721118e-09,1.6728295220269103e-10
10000,1.attn.c_attn.weight,4608,1536,3.0,1536,2,1.4436589766691682e-09,1.9341362847222232e-10
10500,1.attn.c_attn.weight,4608,1536,3.0,1536,2,1.235044686430816e-09,1.6546461317274316e-10
11000,1.attn.c_attn.weight,4608,1536,3.0,1536,2,1.2848729404686388e-09,1.721403333875869e-10
11500,1.attn.c_attn.weight,4608,1536,3.0,1536,1,1.6507863285330583e-09,2.211634318033855e-10
12000,1.attn.c_attn.weight,4608,1536,3.0,1536,2,1.2077103299300672e-09,1.6180250379774314e-10
12500,1.attn.c_attn.weight,4608,1536,3.0,1536,2,1.6660353561179667e-09,2.2320641411675355e-10
13000,1.attn.c_attn.weight,4608,1536,3.0,1536,2,1.2952498721031827e-09,1.7353057861328138e-10
13500,1.attn.c_attn.weight,4608,1536,3.0,1536,2,1.4460317506709694e-09,1.937315199110244e-10
14000,1.attn.c_attn.weight,4608,1536,3.0,1536,2,1.6930533427518083e-09,2.2682613796657993e-10
14500,1.attn.c_attn.weight,4608,1536,3.0,1536,1,1.3445402973672641e-09,1.8013424343533e-10
15000,1.attn.c_attn.weight,4608,1536,3.0,1536,2,1.2556403647664498e-09,1.682239108615453e-10
15500,1.attn.c_attn.weight,4608,1536,3.0,1536,1,9.265524292099818e-10,1.241344875759548e-10
16000,1.attn.c_attn.weight,4608,1536,3.0,1536,1,1.5619813068923164e-09,2.092658148871529e-10
16500,1.attn.c_attn.weight,4608,1536,3.0,1536,2,1.372633941548589e-09,1.8389807807074666e-10
17000,1.attn.c_attn.weight,4608,1536,3.0,1536,1,1.1318448358458123e-09,1.5163845486111102e-10
17500,1.attn.c_attn.weight,4608,1536,3.0,1536,1,2.074721950188187e-09,2.7796003553602435e-10
18000,1.attn.c_attn.weight,4608,1536,3.0,1536,1,1.268516618349557e-09,1.6994900173611126e-10
18500,1.attn.c_attn.weight,4608,1536,3.0,1536,1,1.049019204689609e-09,1.4054192437065967e-10
19000,1.attn.c_attn.weight,4608,1536,3.0,1536,1,1.4761501620004976e-09,1.9776662190755216e-10
19500,1.attn.c_attn.weight,4608,1536,3.0,1536,1,1.3440657425669037e-09,1.8007066514756956e-10
20000,1.attn.c_attn.weight,4608,1536,3.0,1536,1,1.663029842382352e-09,2.2280375162760426e-10
20500,1.attn.c_attn.weight,4608,1536,3.0,1536,2,1.2552290839394707e-09,1.6816880967881954e-10
21000,1.attn.c_attn.weight,4608,1536,3.0,1536,1,1.2154930286559746e-09,1.6284518771701394e-10
21500,1.attn.c_attn.weight,4608,1536,3.0,1536,1,1.3315691328240846e-09,1.7839643690321194e-10
22000,1.attn.c_attn.weight,4608,1536,3.0,1536,1,1.0268100400327502e-09,1.375664605034721e-10
22500,1.attn.c_attn.weight,4608,1536,3.0,1536,1,1.2548494400991825e-09,1.6811794704861123e-10
23000,1.attn.c_attn.weight,4608,1536,3.0,1536,1,1.2185934533516615e-09,1.6326056586371534e-10
23500,1.attn.c_attn.weight,4608,1536,3.0,1536,2,9.852390395211957e-10,1.3199700249565967e-10
24000,1.attn.c_attn.weight,4608,1536,3.0,1536,2,1.1365587468627238e-09,1.5226999918619783e-10
24500,1.attn.c_attn.weight,4608,1536,3.0,1536,2,1.2640241662394805e-09,1.69347127278646e-10
500,1.attn.c_proj.weight,1536,1536,1.0,1536,12,3.800625271267361e-10,9.501563178168403e-11
1000,1.attn.c_proj.weight,1536,1536,1.0,1536,6,4.7149658203125e-10,1.178741455078125e-10
1500,1.attn.c_proj.weight,1536,1536,1.0,1536,4,6.045701768663195e-10,1.5114254421657988e-10
2000,1.attn.c_proj.weight,1536,1536,1.0,1536,3,8.788384331597224e-10,2.197096082899306e-10
2500,1.attn.c_proj.weight,1536,1536,1.0,1536,2,1.1990017361111115e-09,2.9975043402777787e-10
3000,1.attn.c_proj.weight,1536,1536,1.0,1536,1,8.326212565104169e-10,2.0815531412760422e-10
3500,1.attn.c_proj.weight,1536,1536,1.0,1536,1,1.1132642957899305e-09,2.7831607394748264e-10
4000,1.attn.c_proj.weight,1536,1536,1.0,1536,1,9.068467881944447e-10,2.2671169704861118e-10
4500,1.attn.c_proj.weight,1536,1536,1.0,1536,1,1.254916720920139e-09,3.1372918023003477e-10
